Bugname,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank,,,,
,13,1,75,0,1,1,1,,H264TrackImpl,,
,13,1,76,0,1,1,1,,,,
,13,1,77,0,1,1,1,,,,1
,13,1,78,0,1,1,1,,,,1
,13,1,79,0,1,1,1,,,,1
,13,1,83,0,1,1,1,,,,1
,13,1,90,0,1,1,1,,,,200
,13,1,91,0,1,1,1,,,,200
,13,1,106,0,1,1,1,,,,200
,13,1,107,0,1,1,1,,,,200
,13,1,111,0,1,1,1,,,,100.5
,13,1,115,0,1,1,1,,,,
,13,1,116,0,1,1,1,,,,
,13,1,117,0,1,1,1,,,,
,13,1,118,0,1,1,1,,,,
,13,1,119,0,1,1,1,,,,"1,100.50"
,13,1,120,0,1,1,1,,,,
,13,1,121,0,1,1,1,,,,
,13,1,122,0,1,1,1,,,,
,13,1,123,0,1,1,1,,,,
,13,1,124,0,1,1,1,,,,
,13,1,126,0,1,1,1,,,,
,13,1,128,0,1,1,1,,,,
,13,1,129,0,1,1,1,,,,
,13,1,130,0,1,1,1,,,,
,13,1,131,0,1,1,1,,,,
,13,1,132,0,1,1,1,,,,
,13,1,133,0,1,1,1,,,,
,13,1,134,0,1,1,1,,,,
,13,1,135,0,1,1,1,,,,
,13,1,136,0,1,1,1,,,,
,13,1,139,0,1,1,1,,,,
,13,1,140,0,1,1,1,,,,
,13,1,148,0,1,1,1,,,,
,13,1,149,0,1,1,1,,,,
,13,1,151,0,1,1,1,,,,
,13,1,152,0,1,1,1,,,,
,13,1,153,0,1,1,1,,,,
,13,1,154,0,1,1,1,,,,
,13,1,155,0,1,1,1,,,,
,13,1,156,0,1,1,1,,,,
,13,1,160,0,1,1,1,,,,
,13,1,164,0,1,1,1,,,,
,13,1,168,0,1,1,1,,,,
,13,1,172,0,1,1,1,,,,
,13,1,173,0,1,1,1,,,,
,13,1,174,0,1,1,1,,,,
,13,1,175,0,1,1,1,,,,
,13,1,177,0,1,1,1,,,,
,13,1,178,0,1,1,1,,,,
,13,1,193,0,1,1,1,,,,
,13,1,199,0,1,1,1,,,,
,13,1,202,0,1,1,1,,,,
,13,1,220,0,1,1,1,,,,
,13,1,221,0,1,1,1,,,,
,13,1,222,0,1,1,1,,,,
,13,1,223,0,1,1,1,,,,
,13,1,224,0,1,1,1,,,,
,13,1,225,0,1,1,1,,,,
,13,1,226,0,1,1,1,,,,
,13,1,227,0,1,1,1,,,,
,13,1,228,0,1,1,1,,,,
,13,1,229,0,1,1,1,,,,
,13,1,230,0,1,1,1,,,,
,13,1,231,0,1,1,1,,,,
,13,1,232,0,1,1,1,,,,
,13,1,280,0,1,1,1,,,,
,13,1,283,0,1,1,1,,,,
,13,1,285,0,1,1,1,,,,
,13,1,287,0,1,1,1,,,,
,13,1,288,0,1,1,1,,,,
,13,1,292,0,1,1,1,,,,
,13,1,293,0,1,1,1,,,,
,13,1,295,0,1,1,1,,,,
,13,1,299,0,1,1,1,,,,
,13,1,301,0,1,1,1,,,,
,13,1,303,0,1,1,1,,,,
,13,1,305,0,1,1,1,,,,
,13,1,306,0,1,1,1,,,,
,13,1,311,0,1,1,1,,,,
,13,1,313,0,1,1,1,,,,
,13,1,314,0,1,1,1,,,,
,13,1,316,0,1,1,1,,,,
,13,1,317,0,1,1,1,,,,
,13,1,318,0,1,1,1,,,,
,13,1,319,0,1,1,1,,,,
,13,1,320,0,1,1,1,,,,
,13,1,323,0,1,1,1,,,,
,13,1,324,0,1,1,1,,,,
,13,1,325,0,1,1,1,,,,
,13,1,326,0,1,1,1,,,,
,13,1,331,0,1,1,1,,,,
,13,1,332,0,1,1,1,,,,
,13,1,333,0,1,1,1,,,,
,13,1,334,0,1,1,1,,,,
,13,1,339,0,1,1,1,,,,
,13,1,340,0,1,1,1,,,,
,13,1,357,0,1,1,1,,,,
,13,1,358,0,1,1,1,,,,
,13,1,360,0,1,1,1,,,,
,13,1,363,0,1,1,1,,,,
,13,1,366,0,1,1,1,,,,
,13,1,371,0,1,1,1,,,,
,13,1,372,0,1,1,1,,,,
,13,1,373,0,1,1,1,,,,
,13,1,374,0,1,1,1,,,,
,13,1,375,0,1,1,1,,,,
,13,1,376,0,1,1,1,,,,
,13,1,377,0,1,1,1,,,,
,13,1,378,0,1,1,1,,,,
,13,1,379,0,1,1,1,,,,
,13,1,382,0,1,1,1,,,,
,13,1,383,0,1,1,1,,,,
,13,1,385,0,1,1,1,,,,
,13,1,386,0,1,1,1,,,,
,13,1,389,0,1,1,1,,,,
,13,1,394,0,1,1,1,,,,
,13,1,396,0,1,1,1,,,,
,13,1,397,0,1,1,1,,,,
,13,1,398,0,1,1,1,,,,
,13,1,399,0,1,1,1,,,,
,13,1,401,0,1,1,1,,,,
,13,1,402,0,1,1,1,,,,
,13,1,403,0,1,1,1,,,,
,13,1,404,0,1,1,1,,,,
,13,1,408,0,1,1,1,,,,
,13,1,411,0,1,1,1,,,,
,13,1,412,0,1,1,1,,,,
,13,1,413,0,1,1,1,,,,
,13,1,416,0,1,1,1,,,,
,13,1,417,0,1,1,1,,,,
,13,1,420,0,1,1,1,,,,
,13,1,421,0,1,1,1,,,,
,13,1,423,0,1,1,1,,,,
,13,1,426,0,1,1,1,,,,
,13,1,428,0,1,1,1,,,,
,13,1,429,0,1,1,1,,,,
,13,1,431,0,1,1,1,,,,
,13,1,433,0,1,1,1,,,,
,13,1,435,0,1,1,1,,,,
,13,1,437,0,1,1,1,,,,
,13,1,438,0,1,1,1,,,,
,13,1,440,0,1,1,1,,,,
,13,1,441,0,1,1,1,,,,
,13,1,442,0,1,1,1,,,,
,13,1,444,0,1,1,1,,,,
,13,1,445,0,1,1,1,,,,
,13,1,446,0,1,1,1,,,,
,13,1,449,0,1,1,1,,,,
,13,1,450,0,1,1,1,,,,
,13,1,452,0,1,1,1,,,,
,13,1,453,0,1,1,1,,,,
,13,1,456,0,1,1,1,,,,
,13,1,457,0,1,1,1,,,,
,13,1,458,0,1,1,1,,,,
,13,1,476,0,1,1,1,,,,
,13,1,477,0,1,1,1,,,,
,13,1,479,0,1,1,1,,,,
,13,1,480,0,1,1,1,,,,
,13,1,481,0,1,1,1,,,,
,13,1,554,0,1,1,1,,,,
,13,1,555,0,1,1,1,,,,
,13,1,557,0,1,1,1,,,,
,13,1,558,0,1,1,1,,,,
,13,1,559,0,1,1,1,,,,
,13,1,562,0,1,1,1,,,,
,13,1,564,0,1,1,1,,,,
,13,1,568,0,1,1,1,,,,
,13,1,571,0,1,1,1,,,,
,13,1,572,0,1,1,1,,,,
,13,1,574,0,1,1,1,,,,
,13,1,575,0,1,1,1,,,,
,13,1,582,0,1,1,1,,,,
,13,1,583,0,1,1,1,,,,
,13,1,584,0,1,1,1,,,,
,13,1,585,0,1,1,1,,,,
,13,1,586,0,1,1,1,,,,
,13,1,587,0,1,1,1,,,,
,13,1,589,0,1,1,1,,,,
,13,1,591,0,1,1,1,,,,
,13,1,592,0,1,1,1,,,,
,13,1,593,0,1,1,1,,,,
,13,1,596,0,1,1,1,,,,
,13,1,597,0,1,1,1,,,,
,13,1,599,0,1,1,1,,,,
,13,1,608,0,1,1,1,,,,
,13,1,609,0,1,1,1,,,,
,13,1,610,0,1,1,1,,,,
,13,1,611,0,1,1,1,,,,
,13,1,612,0,1,1,1,,,,
,13,1,635,0,1,1,1,,,,
,13,1,639,0,1,1,1,,,,
,13,1,640,0,1,1,1,,,,
,13,1,642,0,1,1,1,,,,
,13,1,684,0,1,1,1,,,,
,13,1,685,0,1,1,1,,,,
,13,1,686,0,1,1,1,,,,
,13,1,687,0,1,1,1,,,,
,13,1,688,0,1,1,1,,,,
,55,3,40,20,3,0.7333333333,200,,,,
,55,3,41,20,3,0.7333333333,200,,,,
,55,3,42,20,3,0.7333333333,200,,,,
,55,3,44,20,3,0.7333333333,200,,,,
,55,3,45,20,3,0.7333333333,200,,,,
,55,3,46,20,3,0.7333333333,200,,,,
,55,3,55,20,3,0.7333333333,200,,,,
,55,3,56,20,3,0.7333333333,200,,,,
,55,3,57,20,3,0.7333333333,200,,,,
,55,3,58,20,3,0.7333333333,200,,,,
,55,3,61,20,3,0.7333333333,200,,,,
,55,3,47,20,2,0.6470588235,211,,,,
,55,3,48,20,2,0.6470588235,211,,,,
,55,3,51,20,2,0.6470588235,211,,,,
,55,3,38,35,3,0.6111111111,214,,,,
,55,3,39,35,3,0.6111111111,214,,,,
,13,1,94,12,1,0.52,216,,,,
,13,1,95,12,1,0.52,216,,,,
,13,1,96,12,1,0.52,216,,,,
,13,1,97,12,1,0.52,216,,,,
,13,1,98,12,1,0.52,216,,,,
,13,1,100,12,1,0.52,216,,,,
mp4parser-107859078,55,3,34,55,3,0.5,222,,DefaultFragmenterImpl,,